index,question,Branch,Adofo,White
1,"Will you support public charter schools as an option for families, while holding those schools to high standards for educating all students?",Yes,Yes,Yes
2,"Will you support DC public schools as an option, as well as by right for families, while holding those schools to high standards for educating all students?",Yes,Yes,Yes
3,Will you work to ensure schools are community centers that meet students’ physical and mental health needs?,Yes,Yes,Yes
4,Do you consider human-created climate change a problem that requires serious public action now?,Yes,Yes,Yes
5,Do you support the Secure DC bill?,Yes,Yes,No
6,Do you support legalizing marijuana?,Yes,Yes,Yes
7,Do you believe it is harder for some communities to register to vote?,Yes,Yes,Yes
8,Do you believe it is harder for some communities to cast a ballot?,Yes,Yes,Yes
9,Do you believe our current criminal legal system disproportionately impacts communities east of the Anacostia River?,Yes,Yes,Yes
10,"Do you support full equality and protections for lesbian, gay, bisexual, transgender, and queer individuals, couples, and families?",Yes,Yes,Yes
11,Do you believe neighborhoods should be involved in city negotiations to bring businesses to those neighborhoods?,Yes,Yes,Yes
12,Should East of the River businesses should have more equitable funding opportunities from city grants?,Yes,Yes,Yes
13,"Do you support full funding for human needs programs, such as Medicaid, Temporary Assistance for Needy Families (TANF), Supplemental Nutrition Assistance Program (SNAP) and the Children’s Health Insurance Program (CHIP)? ",Yes,Yes,Yes
14,Would you support refugees moving to your community?,Yes,Yes,No
15,Do you support legislation to post or promote the National Human Trafficking Hotline?,Yes,Yes,Yes